key	en	zh-CN	zh-TW	de	fr	ko	ja	es	pt-BR	ru	tr
Pick keys the game does not use.	Pick keys the game does not use.	请选择游戏未使用的按键。	請選擇遊戲未使用的按鍵。	Wähle Tasten, die das Spiel nicht verwendet.	Choisissez des touches inutilisées par le jeu.	게임에서 사용하지 않는 키를 선택하세요.	ゲームで使われていないキーを選んでください。	Elige teclas que el juego no use.	Escolha teclas que o jogo não usa.	Выберите клавиши, которые игра не использует.	Oyunun kullanmadığı tuşları seçin.
Gizmo projection (stage 1: display). Calibrate once: enable the marker, switch to play mode (Home) and adjust until the yellow circles sit at your character's feet and head.	Gizmo projection (stage 1: display). Calibrate once: enable the marker, switch to play mode (Home) and adjust until the yellow circles sit at your character's feet and head.	操纵器投影（第 1 阶段：显示）。只需校准一次：启用标记，切换到游玩模式（Home），调整数值，直到黄色圆圈分别位于角色脚部和头部。	操縱器投影（第 1 階段：顯示）。只需校準一次：啟用標記，切換至遊玩模式（Home），調整數值，直到黃色圓圈分別位於角色腳部和頭部。	Gizmo-Projektion (Stufe 1: Anzeige). Einmal kalibrieren: Markierung aktivieren, in den Spielmodus (Pos1) wechseln und anpassen, bis die gelben Kreise an Füßen und Kopf sitzen.	Projection du gizmo (étape 1 : affichage). Calibrez une fois : activez le repère, passez en mode jeu (Home) et ajustez jusqu’à ce que les cercles jaunes soient aux pieds et à la tête du personnage.	기즈모 투영(1단계: 표시). 한 번만 보정하세요. 마커를 켜고 플레이 모드(Home)로 전환한 뒤 노란 원이 캐릭터의 발과 머리에 오도록 조정합니다.	ギズモの投影（ステージ1：表示）。一度だけ調整します。マーカーを有効にしてプレイモード（Home）に切り替え、黄色い円がキャラクターの足と頭に合うように調整してください。	Proyección del gizmo (fase 1: visualización). Calibra una vez: activa el marcador, cambia al modo juego (Home) y ajusta hasta que los círculos amarillos coincidan con los pies y la cabeza.	Projeção do gizmo (etapa 1: exibição). Calibre uma vez: ative o marcador, mude para o modo de jogo (Home) e ajuste até os círculos amarelos ficarem nos pés e na cabeça do personagem.	Проекция гизмо (этап 1: отображение). Настройте один раз: включите маркер, перейдите в игровой режим (Home) и совместите жёлтые круги с ногами и головой персонажа.	Gizmo projeksiyonu (1. aşama: görüntü). Bir kez kalibre edin: işareti açın, oyun moduna (Home) geçin ve sarı daireler karakterin ayaklarına ve başına oturana kadar ayarlayın.
listens on 127.0.0.1 only. Local tools and scripts can search prefabs and spawn, move and delete World Builder objects (see HTTP_API.md)	listens on 127.0.0.1 only. Local tools and scripts can search prefabs and spawn, move and delete World Builder objects (see HTTP_API.md)	仅监听 127.0.0.1。本机工具和脚本可以搜索预制件，并生成、移动和删除 World Builder 物体（参阅 HTTP_API.md）	僅監聽 127.0.0.1。本機工具和指令碼可搜尋預製件，並生成、移動及刪除 World Builder 物件（參閱 HTTP_API.md）	Lauscht nur auf 127.0.0.1. Lokale Tools und Skripte können Prefabs suchen sowie World-Builder-Objekte erzeugen, bewegen und löschen (siehe HTTP_API.md).	Écoute uniquement sur 127.0.0.1. Les outils locaux peuvent rechercher des prefabs et créer, déplacer ou supprimer des objets (voir HTTP_API.md).	127.0.0.1에서만 수신합니다. 로컬 도구와 스크립트로 프리팹을 검색하고 World Builder 오브젝트를 생성·이동·삭제할 수 있습니다(HTTP_API.md 참고).	127.0.0.1のみで待ち受けます。ローカルツールからPrefab検索やWorld Builderオブジェクトの生成・移動・削除ができます（HTTP_API.md参照）。	Solo escucha en 127.0.0.1. Las herramientas locales pueden buscar prefabs y crear, mover o eliminar objetos (consulta HTTP_API.md).	Escuta somente em 127.0.0.1. Ferramentas locais podem buscar prefabs e criar, mover ou remover objetos (consulte HTTP_API.md).	Слушает только 127.0.0.1. Локальные инструменты могут искать префабы, создавать, перемещать и удалять объекты (см. HTTP_API.md).	Yalnızca 127.0.0.1 adresinde dinler. Yerel araçlar prefab arayabilir, World Builder nesnelerini oluşturabilir, taşıyabilir ve silebilir (HTTP_API.md).
all (%d)	all (%d)	全部（%d）	全部（%d）	Alle (%d)	Tout (%d)	전체(%d)	すべて（%d）	Todo (%d)	Tudo (%d)	Все (%d)	Tümü (%d)
new (%d)	new (%d)	新增（%d）	新增（%d）	Neu (%d)	Nouveaux (%d)	새 항목(%d)	新規（%d）	Nuevos (%d)	Novos (%d)	Новые (%d)	Yeni (%d)
Group %d  (%d objects)	Group %d  (%d objects)	组 %d（%d 个物体）	群組 %d（%d 個物件）	Gruppe %d  (%d Objekte)	Groupe %d  (%d objets)	그룹 %d  (오브젝트 %d개)	グループ%d（オブジェクト%d個）	Grupo %d  (%d objetos)	Grupo %d  (%d objetos)	Группа %d  (объектов: %d)	Grup %d  (%d nesne)
Group selection	Group selection	选择组	群組選取	Gruppe auswählen	Sélectionner le groupe	그룹 선택	グループを選択	Seleccionar grupo	Selecionar grupo	Выбрать группу	Grubu seç
Grab group	Grab group	抓取整组	抓取整組	Gruppe greifen	Saisir le groupe	그룹 잡기	グループを掴む	Agarrar grupo	Pegar grupo	Взять группу	Grubu tut
add to collection	add to collection	添加到收藏集	加入收藏集	Zur Sammlung hinzufügen	Ajouter à la collection	컬렉션에 추가	コレクションに追加	Añadir a colección	Adicionar à coleção	Добавить в коллекцию	Koleksiyona ekle
favorite	favorite	收藏	我的最愛	Favorit	Favori	즐겨찾기	お気に入り	Favorito	Favorito	В избранное	Favori
unfavorite	unfavorite	取消收藏	移除我的最愛	Aus Favoriten entfernen	Retirer des favoris	즐겨찾기 해제	お気に入り解除	Quitar de favoritos	Remover dos favoritos	Убрать из избранного	Favorilerden kaldır
recent:	recent:	最近：	最近：	Zuletzt:	Récents :	최근 항목:	最近:	Recientes:	Recentes:	Недавние:	Son kullanılanlar:
(first 5000)	(first 5000)	（前 5000 个）	（前 5000 個）	(erste 5000)	(5000 premiers)	(처음 5000개)	（先頭5000件）	(primeros 5000)	(primeiros 5000)	(первые 5000)	(ilk 5000)
one grid step per press	one grid step per press	每按一次移动一个网格	每按一次移動一個格線	Ein Rasterfeld pro Tastendruck	Un pas de grille par pression	한 번 누를 때마다 한 칸	1回押すごとに1グリッド移動	Un paso de cuadrícula por pulsación	Um passo de grade por toque	Один шаг сетки за нажатие	Her basışta bir ızgara adımı
fast	fast	快速	快速	Schnell	Rapide	빠르게	高速	Rápido	Rápido	Быстро	Hızlı
(group)	(group)	（组）	（群組）	(Gruppe)	(groupe)	(그룹)	（グループ）	(grupo)	(grupo)	(группа)	(grup)
(in a group)	(in a group)	（属于一个组）	（屬於一個群組）	(in einer Gruppe)	(dans un groupe)	(그룹에 포함)	（グループ内）	(en un grupo)	(em um grupo)	(в группе)	(grupta)
(click: favorite)	(click: favorite)	（点击收藏）	（點擊加入我的最愛）	(Klick: Favorit)	(cliquer : favori)	(클릭: 즐겨찾기)	（クリックでお気に入り）	(clic: favorito)	(clique: favorito)	(щелчок: избранное)	(tıkla: favori)
0.1 m	0.1 m	0.1 米	0.1 公尺	0,1 m	0,1 m	0.1 m	0.1 m	0,1 m	0,1 m	0,1 м	0,1 m
0.25 m	0.25 m	0.25 米	0.25 公尺	0,25 m	0,25 m	0.25 m	0.25 m	0,25 m	0,25 m	0,25 м	0,25 m
0.5 m	0.5 m	0.5 米	0.5 公尺	0,5 m	0,5 m	0.5 m	0.5 m	0,5 m	0,5 m	0,5 м	0,5 m
1 m	1 m	1 米	1 公尺	1 m	1 m	1 m	1 m	1 m	1 m	1 м	1 m
2 m	2 m	2 米	2 公尺	2 m	2 m	2 m	2 m	2 m	2 m	2 м	2 m
5 deg	5 deg	5 度	5 度	5 Grad	5 degrés	5도	5度	5 grados	5 graus	5°	5 derece
15 deg	15 deg	15 度	15 度	15 Grad	15 degrés	15도	15度	15 grados	15 graus	15°	15 derece
30 deg	30 deg	30 度	30 度	30 Grad	30 degrés	30도	30度	30 grados	30 graus	30°	30 derece
45 deg	45 deg	45 度	45 度	45 Grad	45 degrés	45도	45度	45 grados	45 graus	45°	45 derece
90 deg	90 deg	90 度	90 度	90 Grad	90 degrés	90도	90度	90 grados	90 graus	90°	90 derece
object	object	物体	物件	Objekt	Objet	오브젝트	オブジェクト	Objeto	Objeto	Объект	Nesne
grp	grp	组	群組	Gruppe	Grp.	그룹	グループ	Grupo	Grupo	Группа	Grup
dist	dist	距离	距離	Abstand	Dist.	거리	距離	Distancia	Distância	Расст.	Uzaklık
feet	feet	脚部	腳部	Füße	Pieds	발	足元	Pies	Pés	Ноги	Ayaklar
head (1.8 m)	head (1.8 m)	头部（1.8 米）	頭部（1.8 公尺）	Kopf (1,8 m)	Tête (1,8 m)	머리(1.8m)	頭（1.8 m）	Cabeza (1,8 m)	Cabeça (1,8 m)	Голова (1,8 м)	Baş (1,8 m)
no duplicates found	no duplicates found	未发现重复物体	找不到重複物件	Keine Duplikate gefunden	Aucun doublon trouvé	중복 항목 없음	重複は見つかりませんでした	No se encontraron duplicados	Nenhuma duplicata encontrada	Дубликатов нет	Yinelenen bulunamadı
deleted all	deleted all	已删除全部物体	已刪除所有物件	Alle gelöscht	Tout supprimé	모두 삭제됨	すべて削除しました	Todo eliminado	Tudo excluído	Всё удалено	Tümü silindi
undo	undo	撤销	復原	Rückgängig	Annuler	실행 취소	元に戻す	Deshacer	Desfazer	Отменить	Geri al
redo	redo	重做	重做	Wiederholen	Rétablir	다시 실행	やり直し	Rehacer	Refazer	Повторить	Yinele
levelled	levelled	已水平对齐	已水平對齊	Ausgerichtet	Mis à niveau	수평 맞춤 완료	水平にしました	Nivelado	Nivelado	Выровнено	Düzleştirildi
%s %d objects	%s %d objects	%s %d 个物体	%s %d 個物件	%s %d Objekte	%s %d objets	%s 오브젝트 %d개	%s オブジェクト%d個	%s %d objetos	%s %d objetos	%s объектов: %d	%s %d nesne
spawn %s	spawn %s	生成 %s	生成 %s	%s erzeugt	Créer : %s	%s 생성	%sを生成	Crear %s	Gerar %s	Создать: %s	%s oluştur
spawning %s	spawning %s	正在生成 %s	正在生成 %s	Erzeuge %s	Création de %s	%s 생성 중	%sを生成中	Generando %s	Gerando %s	Создание: %s	%s oluşturuluyor
snapped to the ground (%+.2f m)	snapped to the ground (%+.2f m)	已吸附到地面（%+.2f 米）	已吸附至地面（%+.2f 公尺）	Am Boden eingerastet (%+.2f m)	Aligné au sol (%+.2f m)	지면에 맞춤(%+.2f m)	地面にスナップしました（%+.2f m）	Ajustado al suelo (%+.2f m)	Alinhado ao chão (%+.2f m)	Привязано к земле (%+.2f м)	Zemine hizalandı (%+.2f m)
Remove all %d placed objects and start an empty project?	Remove all %d placed objects and start an empty project?	移除全部 %d 个已放置物体并开始空项目？	移除全部 %d 個已放置物件並開始空白專案？	Alle %d platzierten Objekte entfernen und ein leeres Projekt starten?	Supprimer les %d objets placés et démarrer un projet vide ?	배치된 오브젝트 %d개를 모두 제거하고 빈 프로젝트를 시작할까요?	配置済みオブジェクト%d個をすべて削除して、新しいプロジェクトを開始しますか？	¿Eliminar los %d objetos colocados y comenzar un proyecto vacío?	Remover os %d objetos colocados e iniciar um projeto vazio?	Удалить все размещённые объекты (%d) и начать пустой проект?	Yerleştirilen %d nesnenin tümü kaldırılsın ve boş bir proje başlatılsın mı?
Saved projects stay on disk. Undo cannot bring the objects back.	Saved projects stay on disk. Undo cannot bring the objects back.	已保存的项目仍保留在磁盘上。撤销无法恢复这些物体。	已儲存的專案仍會保留在磁碟上。復原無法還原這些物件。	Gespeicherte Projekte bleiben auf der Festplatte. Rückgängig kann die Objekte nicht wiederherstellen.	Les projets enregistrés restent sur le disque. Annuler ne peut pas restaurer ces objets.	저장된 프로젝트는 디스크에 남습니다. 실행 취소로 오브젝트를 복구할 수 없습니다.	保存済みのプロジェクトはディスクに残ります。元に戻す操作ではオブジェクトを復元できません。	Los proyectos guardados permanecen en el disco. Deshacer no puede recuperar estos objetos.	Os projetos salvos continuam no disco. Desfazer não recupera esses objetos.	Сохранённые проекты останутся на диске. Отмена не восстановит объекты.	Kaydedilmiş projeler diskte kalır. Geri alma nesneleri geri getirmez.
empty scene for a new project: removes everything World Builder has placed.\nSaved .cdproj files on disk are not touched.	empty scene for a new project: removes everything World Builder has placed.\nSaved .cdproj files on disk are not touched.	为新项目清空场景：移除 World Builder 放置的所有物体。磁盘上已保存的 .cdproj 文件不会受影响。	為新專案清空場景：移除 World Builder 放置的所有物件。磁碟上已儲存的 .cdproj 檔案不會受影響。	Leere Szene für ein neues Projekt: Entfernt alles, was World Builder platziert hat. Gespeicherte .cdproj-Dateien bleiben erhalten.	Vider la scène pour un nouveau projet : supprime tout ce que World Builder a placé. Les fichiers .cdproj enregistrés restent intacts.	새 프로젝트를 위해 장면을 비웁니다. World Builder가 배치한 모든 오브젝트가 제거되며 디스크의 .cdproj 파일은 유지됩니다.	新しいプロジェクト用にシーンを空にします。World Builderが配置したオブジェクトは削除されますが、保存済みの.cdprojファイルは変更されません。	Vacía la escena para un proyecto nuevo: elimina lo colocado por World Builder. Los .cdproj guardados no se modifican.	Esvazia a cena para um novo projeto: remove tudo que o World Builder colocou. Arquivos .cdproj salvos não são alterados.	Очистить сцену для нового проекта: удалить размещённое World Builder. Сохранённые .cdproj не изменятся.	Yeni proje için sahneyi boşaltır: World Builder'ın yerleştirdiği her şeyi kaldırır. Kayıtlı .cdproj dosyaları değişmez.
drops the entries from the list without touching the world	drops the entries from the list without touching the world	从列表中移除条目，但不影响游戏世界	從清單中移除項目，但不影響遊戲世界	Entfernt Einträge aus der Liste, ohne die Welt zu verändern	Retire les entrées de la liste sans modifier le monde	월드는 변경하지 않고 목록에서 항목을 제거합니다	ワールドに触れずにリストから項目を除外します	Quita las entradas de la lista sin modificar el mundo	Remove os itens da lista sem alterar o mundo	Убирает записи из списка, не меняя мир	Dünyaya dokunmadan kayıtları listeden kaldırır
%d objects of this project are in the scene and were changed since the last save	%d objects of this project are in the scene and were changed since the last save	此项目有 %d 个物体在场景中，且自上次保存后已更改	此專案有 %d 個物件在場景中，且自上次儲存後已變更	%d Objekte dieses Projekts in der Szene wurden seit dem letzten Speichern geändert	%d objets de ce projet sont dans la scène et ont changé depuis la dernière sauvegarde	이 프로젝트의 오브젝트 %d개가 장면에 있으며 마지막 저장 이후 변경되었습니다	このプロジェクトのオブジェクト%d個がシーンにあり、前回保存後に変更されています	Hay %d objetos de este proyecto en la escena y cambiaron desde el último guardado	%d objetos deste projeto estão na cena e foram alterados desde o último salvamento	Объектов проекта в сцене: %d; есть изменения после сохранения	Bu projenin sahnedeki %d nesnesi son kayıttan sonra değiştirildi
placed by hand and not part of a saved project yet - the Project tab saves exactly these under a new name	placed by hand and not part of a saved project yet - the Project tab saves exactly these under a new name	手动放置的物体尚未属于已保存项目；“项目”标签页可将这些物体另存为新项目	手動放置的物件尚未屬於已儲存專案；「專案」分頁可將這些物件另存為新專案	Manuell platziert und noch keinem gespeicherten Projekt zugeordnet – im Projekt-Tab genau diese unter neuem Namen speichern	Placés à la main et pas encore enregistrés dans un projet ; l’onglet Projet permet de les sauvegarder sous un nouveau nom	직접 배치했으며 아직 저장된 프로젝트에 포함되지 않았습니다. 프로젝트 탭에서 새 이름으로 저장할 수 있습니다	手動配置され、まだ保存済みプロジェクトに属していません。プロジェクトタブで新しい名前を付けて保存できます	Colocados a mano y aún sin proyecto guardado; la pestaña Proyecto permite guardarlos con otro nombre	Colocados manualmente e ainda sem projeto salvo; a aba Projeto permite salvá-los com outro nome	Размещены вручную и ещё не входят в сохранённый проект; во вкладке «Проект» их можно сохранить под новым именем	Elle yerleştirildi ve kayıtlı projeye ait değil; Proje sekmesinden yeni adla kaydedebilirsiniz
player position not available (load a save)	player position not available (load a save)	无法获取玩家位置（请先加载存档）	無法取得玩家位置（請先載入存檔）	Spielerposition nicht verfügbar (Spielstand laden)	Position du joueur indisponible (chargez une sauvegarde)	플레이어 위치를 사용할 수 없습니다(저장 파일을 불러오세요)	プレイヤー位置を取得できません（セーブを読み込んでください）	Posición del jugador no disponible (carga una partida)	Posição do jogador indisponível (carregue um jogo salvo)	Позиция игрока недоступна (загрузите сохранение)	Oyuncu konumu yok (bir kayıt yükleyin)
gimmicks through the game	gimmicks through the game	通过游戏原生流程生成互动对象	透過遊戲原生流程生成互動物件	Interaktive Objekte über das Spiel erzeugen	Créer les objets interactifs via le jeu	게임의 기본 생성 방식으로 상호작용 오브젝트 생성	ゲームの生成経路でインタラクティブオブジェクトを生成	Crear objetos interactivos mediante el juego	Criar objetos interativos pelo sistema do jogo	Создавать интерактивные объекты средствами игры	Etkileşimli nesneleri oyunun kendi yöntemiyle oluştur
prefabs under /object/cd_gimmick/ are spawned through the game's own spawn path and react like real objects (torches, doors, chests); off = plain objects	prefabs under /object/cd_gimmick/ are spawned through the game's own spawn path and react like real objects (torches, doors, chests); off = plain objects	/object/cd_gimmick/ 下的预制件会通过游戏自身的生成流程创建，并能像真实物件一样互动（火把、门、宝箱）；关闭时则按普通物件处理。	/object/cd_gimmick/ 下的預製件會透過遊戲自身的生成流程建立，並能像真實物件一樣互動（火把、門、寶箱）；關閉時則按一般物件處理。	Prefabs unter /object/cd_gimmick/ werden über den Erzeugungspfad des Spiels erstellt und reagieren wie echte Objekte (Fackeln, Türen, Truhen); aus = einfache Objekte	Les prefabs sous /object/cd_gimmick/ sont créés par le système du jeu et réagissent comme de vrais objets (torches, portes, coffres) ; désactivé = objets simples	/object/cd_gimmick/ 아래의 프리팹은 게임 자체 생성 경로로 생성되어 실제 오브젝트처럼 반응합니다(횃불, 문, 상자). 끄면 일반 오브젝트로 생성됩니다.	/object/cd_gimmick/ 以下のプレハブはゲーム本来の生成処理で作成され、たいまつ、扉、宝箱など実物と同じように反応します。オフでは通常のオブジェクトになります。	Los prefabs de /object/cd_gimmick/ se crean mediante el sistema del juego y reaccionan como objetos reales (antorchas, puertas y cofres); desactivado = objetos simples	Os prefabs em /object/cd_gimmick/ são criados pelo sistema do próprio jogo e reagem como objetos reais (tochas, portas e baús); desativado = objetos simples	Префабы из /object/cd_gimmick/ создаются штатным механизмом игры и ведут себя как настоящие объекты (факелы, двери, сундуки); при отключении создаются обычные объекты	/object/cd_gimmick/ altındaki prefab’ler oyunun kendi oluşturma yöntemiyle üretilir ve gerçek nesneler gibi tepki verir (meşaleler, kapılar, sandıklar); kapalıyken sıradan nesneler oluşturulur
%d interactive object(s) spawning...	%d interactive object(s) spawning...	%d 个互动对象正在生成……	%d 個互動物件正在生成……	Erzeuge %d interaktive Objekte...	Création de %d objets interactifs...	상호작용 오브젝트 %d개 생성 중...	インタラクティブオブジェクトを %d 個生成中...	Creando %d objetos interactivos...	Criando %d objetos interativos...	Создание интерактивных объектов: %d...	%d etkileşimli nesne oluşturuluyor...
%d interactive object(s) waiting for a spawn template: walk a few meters	%d interactive object(s) waiting for a spawn template: walk a few meters	%d 个互动对象正在等待生成模板：先走动几米	%d 個互動物件正在等待生成範本：先走動幾公尺	%d interaktive Objekte warten auf eine Vorlage: Geh ein paar Meter.	%d objets interactifs attendent un modèle de création : marchez quelques mètres.	상호작용 오브젝트 %d개가 생성 템플릿을 기다립니다. 몇 미터 걸어 보세요.	インタラクティブオブジェクト %d 個が生成テンプレートを待っています。数メートル歩いてください。	%d objetos interactivos esperan una plantilla de creación: camina unos metros.	%d objetos interativos aguardam um modelo de criação: caminhe alguns metros.	Интерактивные объекты (%d) ожидают шаблон создания: пройдите несколько метров.	%d etkileşimli nesne oluşturma şablonunu bekliyor: birkaç metre yürüyün.
"here" replays the capture, but the server object is built from this prefab instead of the captured one	"here" replays the capture, but the server object is built from this prefab instead of the captured one	“在此生成”会重放捕获记录，但服务端物体会使用此预制件创建，而不是捕获记录中的预制件。	“在此生成”會重放捕獲記錄，但服務端物件會使用此預製件創建，而不是捕獲記錄中的預製件。	Hier wird die Aufnahme wiedergegeben, aber das Serverobjekt wird aus diesem Prefab statt aus dem aufgenommenen erstellt.	Ici, la capture est rejouée, mais l’objet serveur est créé à partir de ce prefab plutôt que de celui capturé.	여기서 캡처를 재생하지만 서버 오브젝트는 캡처된 프리팹 대신 이 프리팹으로 생성됩니다.	ここでキャプチャを再生しますが、サーバーオブジェクトはキャプチャされたものではなく、このプレハブから生成されます。	Aquí se reproduce la captura, pero el objeto del servidor se crea a partir de este prefab en lugar del capturado.	Aqui a captura é reproduzida, mas o objeto do servidor é criado a partir deste prefab, e não do prefab capturado.	Здесь воспроизводится захват, но объект сервера создаётся из этого префаба, а не из записанного.	Burada kayıt yeniden oynatılır, ancak sunucu nesnesi kaydedilenden değil bu prefab'dan oluşturulur.
%.0f m away: the direct write only works inside the loaded area (about 400 m). Use the game's fast travel to get close first.	%.0f m away: the direct write only works inside the loaded area (about 400 m). Use the game's fast travel to get close first.	相距 %.0f 米：直接写入位置仅在已加载区域内有效（约 400 米）。请先使用游戏内的快速旅行前往附近。	相距 %.0f 米：直接寫入位置僅在已載入區域內有效（約 400 米）。請先使用遊戲內的快速旅行前往附近。	%.0f m entfernt: Der direkte Schreibzugriff funktioniert nur im geladenen Bereich (etwa 400 m). Nutze zuerst die Schnellreise im Spiel, um näher heranzukommen.	À %.0f m : l’écriture directe ne fonctionne que dans la zone chargée (environ 400 m). Utilisez d’abord le voyage rapide du jeu pour vous en approcher.	%.0f m 거리: 직접 쓰기는 로드된 영역(약 400 m) 안에서만 작동합니다. 먼저 게임의 빠른 이동으로 가까이 이동하세요.	%.0f m 先: 直接書き込みは読み込み済み領域（約 400 m）内でのみ機能します。先にゲーム内の高速移動で近くまで移動してください。	A %.0f m: la escritura directa solo funciona dentro de la zona cargada (unos 400 m). Usa primero el viaje rápido del juego para acercarte.	A %.0f m: a gravação direta só funciona dentro da área carregada (cerca de 400 m). Use primeiro a viagem rápida do jogo para se aproximar.	На расстоянии %.0f м: прямая запись работает только в загруженной области (около 400 м). Сначала воспользуйтесь быстрым перемещением в игре, чтобы приблизиться.	%.0f m uzakta: doğrudan yazma yalnızca yüklenmiş alan içinde (yaklaşık 400 m) çalışır. Önce yaklaşmak için oyunun hızlı seyahat özelliğini kullanın.
%.1f  %.1f  %.1f   tile %d,%d	%.1f  %.1f  %.1f   tile %d,%d	%.1f  %.1f  %.1f   地块 %d,%d	%.1f  %.1f  %.1f   地塊 %d,%d	%.1f  %.1f  %.1f   Kachel %d,%d	%.1f  %.1f  %.1f   case %d,%d	%.1f  %.1f  %.1f   타일 %d,%d	%.1f  %.1f  %.1f   タイル %d,%d	%.1f  %.1f  %.1f   cuadrícula %d,%d	%.1f  %.1f  %.1f   bloco %d,%d	%.1f  %.1f  %.1f   участок %d,%d	%.1f  %.1f  %.1f   kare %d,%d
%.1f x %.1f x %.1f m    meshes %d    %s	%.1f x %.1f x %.1f m    meshes %d    %s	%.1f x %.1f x %.1f 米    网格数 %d    %s	%.1f x %.1f x %.1f 米    網格數 %d    %s	%.1f x %.1f x %.1f m    Meshes %d    %s	%.1f x %.1f x %.1f m    maillages %d    %s	%.1f x %.1f x %.1f m    메시 %d    %s	%.1f x %.1f x %.1f m    メッシュ %d    %s	%.1f x %.1f x %.1f m    mallas %d    %s	%.1f x %.1f x %.1f m    malhas %d    %s	%.1f x %.1f x %.1f м    меши %d    %s	%.1f x %.1f x %.1f m    ağlar %d    %s
%lu s	%lu s	%lu 秒	%lu 秒	%lu s	%lu s	%lu초	%lu 秒	%lu s	%lu s	%lu с	%lu sn
%lu s  %s  actor %p	%lu s  %s  actor %p	%lu 秒  %s  实体 %p	%lu 秒  %s  實體 %p	%lu s  %s  Akteur %p	%lu s  %s  acteur %p	%lu초  %s  액터 %p	%lu 秒  %s  アクター %p	%lu s  %s  actor %p	%lu s  %s  ator %p	%lu с  %s  актор %p	%lu sn  %s  aktör %p
%s\n%.1f  %.1f  %.1f   yaw %.0f   scale %.2f%s	%s\n%.1f  %.1f  %.1f   yaw %.0f   scale %.2f%s	%s\n%.1f  %.1f  %.1f   朝向 %.0f   缩放 %.2f%s	%s\n%.1f  %.1f  %.1f   朝向 %.0f   縮放 %.2f%s	%s\n%.1f  %.1f  %.1f   Gierwinkel %.0f   Skalierung %.2f%s	%s\n%.1f  %.1f  %.1f   lacet %.0f   échelle %.2f%s	%s\n%.1f  %.1f  %.1f   요각 %.0f   배율 %.2f%s	%s\n%.1f  %.1f  %.1f   ヨー %.0f   スケール %.2f%s	%s\n%.1f  %.1f  %.1f   guiñada %.0f   escala %.2f%s	%s\n%.1f  %.1f  %.1f   guinada %.0f   escala %.2f%s	%s\n%.1f  %.1f  %.1f   рыскание %.0f   масштаб %.2f%s	%s\n%.1f  %.1f  %.1f   yaw %.0f   ölçek %.2f%s
(%d in the scene)	(%d in the scene)	（场景中 %d 个）	（場景中 %d 個）	(%d in der Szene)	(%d dans la scène)	(장면에 %d개)	（シーン内に %d 個）	(%d en la escena)	(%d na cena)	(%d на сцене)	(sahnede %d)
(benches, market stalls, tents side by side).	(benches, market stalls, tents side by side).	（长椅、集市摊位或并排的帐篷）。	（長椅、集市攤位或并排的帳篷）。	(Bänke, Marktstände und Zelte nebeneinander).	(bancs, étals de marché et tentes côte à côte).	(벤치, 시장 노점, 텐트를 나란히 배치).	（ベンチ、市場の屋台、テントを横並びに配置）	(bancos, puestos de mercado y tiendas de campaña uno al lado del otro).	(bancos, barracas de mercado e tendas lado a lado).	(скамьи, рыночные прилавки и палатки рядом друг с другом).	(banklar, pazar tezgâhları ve çadırlar yan yana).
(game says %.1f deg)	(game says %.1f deg)	（游戏读数：%.1f 度）	（遊戲讀數：%.1f 度）	(laut Spiel %.1f Grad)	(selon le jeu : %.1f degrés)	(게임 표시: %.1f도)	（ゲーム上の値 %.1f 度）	(según el juego: %.1f grados)	(segundo o jogo: %.1f graus)	(по данным игры: %.1f град.)	(oyuna göre %.1f derece)
(no saved points yet)	(no saved points yet)	（尚无已保存的位置）	（尚無已儲存的位置）	(noch keine Punkte gespeichert)	(aucun point enregistré pour l’instant)	(저장된 지점이 아직 없습니다)	（保存済みの地点はまだありません）	(aún no hay puntos guardados)	(nenhum ponto salvo ainda)	(сохранённых точек пока нет)	(henüz kaydedilmiş nokta yok)
(not available, using the manual value)	(not available, using the manual value)	（不可用，当前使用手动值）	（不可用，當前使用手動值）	(nicht verfügbar, manueller Wert wird verwendet)	(indisponible, utilisation de la valeur manuelle)	(사용할 수 없음, 수동 값을 사용합니다)	（利用不可。手動の値を使用します）	(no disponible; se usa el valor manual)	(indisponível; usando o valor manual)	(недоступно, используется ручное значение)	(kullanılamıyor, elle girilen değer kullanılıyor)
(one grid step per press)	(one grid step per press)	（每按一次移动一个网格单位）	（每按一次移動一個網格單位）	(ein Rasterfeld pro Tastendruck)	(un pas de grille par pression)	(누를 때마다 격자 한 칸 이동)	（キーを押すごとにグリッドを 1 段階移動）	(un paso de cuadrícula por pulsación)	(um passo da grade por pressionamento)	(один шаг сетки за нажатие)	(her basışta bir ızgara adımı)
0x%llx	0x%llx	0x%llx	0x%llx	0x%llx	0x%llx	0x%llx	0x%llx	0x%llx	0x%llx	0x%llx	0x%llx
Console: tp x y z	Console: tp x y z	控制台：tp x y z	控制臺：tp x y z	Konsole: tp x y z	Console : tp x y z	콘솔: tp x y z	コンソール: tp x y z	Consola: tp x y z	Console de comandos: tp x y z	Консоль: tp x y z	Konsol: tp x y z
Developer: how moves are applied	Developer: how moves are applied	开发者：移动操作的实现方式	開發者：移動操作的實現方式	Entwickler: So werden Bewegungen angewendet	Développeur : application des déplacements	개발자: 이동 적용 방식	開発者向け: 移動の適用方法	Desarrollador: cómo se aplican los movimientos	Desenvolvedor: como os movimentos são aplicados	Для разработчика: как применяются перемещения	Geliştirici: hareketlerin uygulanma biçimi
